Validated Rating of 3+ in All Skills ,,"Skill Rating Descriptions. 
Provided for Skill Rating 3 and 4. For further support, see the Skills Ratings Guidance. ",,
,,,,
Skill Name,Definition,3 - Advanced - Applied Theory,4 - Specialist Go-to-Person,5 - Expert Recognized Authority
Build and Deploy Technical Capabilities,Demonstrates ability to successfully complete the end-to-end process of taking a technical concept from proof of concept/technology to design and development of a fully functional and operational solution that delivers tangible value.  ,"I apply practical expertise in building and deploying technical capabilities that move beyond proof of concept into production-ready solutions.
I contribute to the design, development, and delivery of scalable architectures that meet defined business and technical requirements.
I collaborate effectively across cross-functional teams to validate designs, troubleshoot issues, and ensure successful implementation of new features or integrations.
I translate technical designs into functional deployments that demonstrate measurable impact and operational readiness for customer use.","I lead the end-to-end design and deployment of complex technical solutions, guiding teams from concept through production implementation.
I serve as a trusted technical advisor, architecting scalable, resilient systems that deliver measurable value and align with customer strategy and technical roadmaps.
I establish best practices for build, deployment, and release management processes, ensuring consistency, quality, and governance across projects.
I mentor others in applying architectural principles and deployment patterns, driving technical excellence and innovation in solution delivery.",
Development Lifecycle Frameworks,Apply Analytics Development Lifecycle (ADLC) and Software Development Lifecycle (SDLC) best practices to continuously reinforce ways of working and improve the quality of projects.,"I apply ADLC and SDLC principles to manage project workflows, ensuring solutions are developed with quality, efficiency, and alignment to business objectives.
I contribute to planning, design, implementation, and testing phases, helping teams apply structured processes to achieve reliable and maintainable outcomes.
I identify areas for process improvement and implement lifecycle best practices to enhance project delivery and reduce risks.
I translate lifecycle methodologies into actionable steps for the team, ensuring adherence to standards while supporting iterative development and agile delivery.","I lead teams in applying ADLC and SDLC frameworks across complex projects, ensuring best practices are consistently implemented throughout the development lifecycle.
I define and evolve governance and workflow strategies that align with organizational standards and project objectives.
I provide expert guidance to teams on process optimization, quality assurance, and risk management, reinforcing ways of working and improving project outcomes.
I communicate lifecycle expectations clearly to technical and non-technical stakeholders, fostering disciplined development practices and ensuring sustainable, high-quality deliverables.",
Retrieval Augmented Generation,Understands how Retrieval Augmented Generation works and the use of Vector Databases. Utilizes RAG techniques and vector databases to enhance knowledge accuracy and response relevance.,"I apply practical expertise in designing and implementing Retrieval Augmented Generation solutions that leverage unstructured and structured data to improve AI accuracy and relevance.
I have contributed to customer-facing implementations or extended existing RAG-enabled solutions, demonstrating the ability to apply advanced RAG patterns to real-world use cases.
I utilize Data 360 or similar data sources to connect and optimize retrieval pipelines, ensuring that retrieved information aligns with model behavior and business objectives.
I translate RAG concepts into actionable testing and deployment strategies, helping teams move beyond proof-of-concept into scalable, production-ready solutions.","I serve as the design lead or lead architect for customer-facing RAG implementations, demonstrating deep technical expertise and solution ownership.
I design and deploy RAG architectures that go beyond standard retrievers or prompt templates, tailoring retrieval and orchestration methods to specific business and data contexts.
I guide teams in implementing scalable, efficient, and explainable RAG pipelines that integrate seamlessly with broader AI and data ecosystems.
I provide thought leadership and mentorship across projects, ensuring technical excellence and innovation in RAG delivery.",
Design and Configure Solutions,Ability to translate client requirements into a well designed solution using a deep knowledge of Salesforce's cloud specific capabilities and design best practices.,"I translate client requirements into robust Salesforce solutions using a combination of declarative configuration and basic programmatic capabilities.
I design solutions that consider scalability, maintainability, and alignment with Salesforce best practices.
I collaborate with cross-functional teams to validate designs, troubleshoot issues, and ensure solutions deliver intended business value.
I proactively identify optimization opportunities and apply design principles to improve user experience and adoption.","I lead the design and configuration of complex Salesforce solutions, guiding teams in translating client requirements into highly functional architectures.
I provide deep expertise in Salesforce cloud specific capabilities, designing solutions that are scalable, secure, and aligned with enterprise architecture principles.
I define best practices, governance, and design standards, mentoring others to ensure consistency, quality, and adherence to design frameworks.
I communicate solution options, trade-offs, and best-in-class guidance to clients, enabling informed decisions and high adoption.",
Conversation Design,"Apply conversation design methods (encompassing voice user interface, interaction, visual, motion, audio, service, design thinking, and UX writing) to create detailed specifications, patterns, guidance and instructions that outline the flow and logic for Agentic/Human experiences, ensuring a linguistic/NLP based approach while considering both user needs and technological limitations.","I apply conversation design methods to develop detailed specifications and interaction flows that guide agentic and human experiences.
I integrate linguistic, NLP, and UX principles to ensure dialogues are coherent, contextually relevant, and aligned with user needs.
I evaluate conversation patterns through iterative testing, providing actionable recommendations to improve flow, engagement, and comprehension.
I collaborate with cross-functional teams to translate design concepts into implementable solutions while considering technological constraints.","I lead the creation of complex conversation designs for agentic systems, combining advanced VUI, UX, NLP, and design thinking expertise.
I define and implement standards, templates, and best practices for conversation design, ensuring scalable, high-quality dialogue patterns across multiple projects.
I guide teams and stakeholders in understanding design trade-offs, technological limitations, and user-centered approaches.
I serve as a trusted advisor, providing expertise on advanced linguistic and interaction strategies that optimize agent-human engagement and overall user experience.",
Prompt Engineering,"Demonstrates advanced English language skills for creating precise, context-aware prompts that optimize Generative AI performance in Agentforce. Includes crafting prompts that elicit desired responses and iteratively refining them.","I apply practical expertise in designing, testing, and refining prompts to optimize Generative AI outputs within Agentforce.
I understand how prompt structure, tone, and context influence model responses and use this knowledge to elicit consistent and accurate results.
I iteratively evaluate AI outputs, identify areas for improvement, and adjust phrasing, sequencing, or constraints to achieve desired outcomes.
I collaborate with technical and customer teams to align prompt strategies with user intent and business objectives, ensuring reliable agent performance.","I lead the design and optimization of complex prompt architectures, applying advanced linguistic, contextual, and interaction design techniques to enhance AI performance.
I establish and communicate best practices for prompt construction, testing, and refinement across teams and projects.
I mentor others in identifying patterns in model behavior, managing variability, and developing reusable prompt frameworks for scalable agent design.
I collaborate with product and engineering teams to continuously improve prompt strategies and model alignment, ensuring high-quality, contextually aware agent experiences.",
Prompt Builder,"Shows expertise and understanding on how to create, test, revise, customize, and manage prompt templates that incorporate CRM data from merge fields, flows, related lists, and Apex.","I apply practical expertise in building, testing, and refining prompt templates that dynamically incorporate CRM data.
I understand how to connect and use merge fields, flows, related lists, and Apex to tailor prompts for specific business and user contexts.
I collaborate with cross-functional teams to validate prompt behavior, troubleshoot issues, and ensure outputs align with intended business logic and user experience.
I iteratively refine templates based on testing and feedback, improving accuracy, personalization, and reliability of AI-generated responses.","I lead the design, customization, and optimization of advanced prompt templates, integrating complex CRM data structures to drive contextual and accurate agent responses.
I define and implement best practices for managing prompt templates, version control, and testing across multiple use cases and environments.
I mentor others on incorporating dynamic data through merge fields, flows, related lists, and Apex, ensuring solutions are scalable and aligned with system architecture.
I serve as a trusted advisor to project teams and customers, guiding design choices that balance performance, maintainability, and business impact.",
