Group: Technical Consulting ,,,Skills Model & Career Path,Skills Ranking ,Skills 360,Skills 360 User Guide,\,\
Career Path: DevOps,,,,,,Skills Insights App - Leader & Employee Guide,,,
,Grade,,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 11
,Associated Job Titles,,Associate DevOps Engineer,DevOps Engineer,Sr. DevOps Engineer,"DevOps Architect
","Sr. DevOps Architect
",Director - DevOps,"VP, Technical Consulting "
Job Profile,Role Summary,,Associate DevOps Engineers are skilled engineers who assist in delivery & deployments of Cloud-based features for Agile Salesforce projects.,DevOps engineers are tenured professionals with the skills necessary to produce improvements to the current procedure as well as build out deployment pipelines from the ground up following Salesforce best practices.,"A Senior DevOps Engineer is skilled in automating and streamlining deployments. They ensure smooth CI/CD pipelines using quality gates and manage development/configurations within version control. They are the direct liason between development and operations teams, manage the deployment lifecycles stability/scalability, and mentor/guide junior team members.","Advises, designs, and manages the deployment orchestration solutions and technologies. They work closely with Delivery Managers, Technical Architects, Solution Architects, and Account Teams. Additionally, they directly partner with clients to architect DevOps technology solutions to meet client needs. All solutions are in accordance with industry best practices to shape long-term/post-implementation customer success. The DevOps Architect is hands-on and performs architecture work. They may also perform deployments as needed.","Responsible for designing and implementing robust DevOps practices and solutions that enhance efficiency, reliability and scalability for larger enterprise customers with complex, multi-cloud and multi-workstream implementations.  Provides leadership to a team of other DevOps engineers and/or Architects.  Supports strategic DevOps planning including Long term goals and aligning DevOps initiatives with overall business goals and objectives. 
","Responsible for overseeing the DevOps practices and strategies within a large and complex organization.  Provides DevOps subject matter expertise across the organization.  Build and lead a team of DevOps architects, engineers, and specialists.  Provides pre-sales and scoping support outside of billable project activities.  Identifies, leads and oversees key DevOps initiatives from start to finish with minimal guidance and support.","Advises, designs, and manages the transformation of large-scale programs. They work closely with Delivery Managers, Solution Architects, and Account Teams. Additionally, they directly partner with clients to architect technology solutions to meet client needs. All solutions are in accordance with industry best practices to shape long-term/post-implementation customer success. Leads internal efforts aligned to the organization's strategic roadmap. "
,Key Experiences,,"- Assists in maintaining deployment pipeline and version control system
- Participates in design, development, and implementation of DevOps strategy
- Assists in identifying, troubleshooting, and resolving deployment errors
- Assists in deploying custom code upstream
- Contributes to DevOps documentation and development team user guides
- Assists in completing manual steps in sandbox refreshes
- Knowledge and experience in 1+ CI/CD tool","- Contributes to maintaining deployment pipeline and version control system.
- Contributes to design, development, and implementation of DevOps strategy.
- Identifies, troubleshoots, and resolves deployment errors and merges conflicts with little oversight.
- Works closely with the development team to deploy custom code upstream.
- Contributes to proof of concepts as needed to improve deployment pipeline and sandbox refreshes.
- Maintains DevOps documentation and development team user guides.
- Contributes to release, sandbox refresh, and roll back strategies.
- Assists in completing manual steps in sandbox refreshes.
- Knowledge and multiple years of experience in 1+ CI/CD tools and 1+ Salesforce-specific DevOps tool.
- Contributes to internal initiatives.","- Generates documentation outlining DevOps processes and practices for the project duration.
- Leads internal initiatives and/or lead a team of DevOps engineers.
- Successful Communication (externally with the customer to some degree with demonstrated ability to take technical concepts and explain them to non-technical audiences). This may include being involved in demos for customers.
- Contributes to maintaining deployment pipeline and version control system.
- Designs, develops, and implements DevOps strategy with little oversight.
- Identifies, troubleshoots, and resolves deployment errors independently.
- Leads deployments of custom code upstream with little oversight.
- Develops proof of concept as needed to improve deployment pipeline and sandbox refreshes with little oversight.
- Develop release, sandbox refresh, and rollback strategies.
- Assists in completing manual steps in sandbox refreshes.
- Generates DevOps documentation and development team user guides with little oversight.
- Deep knowledge and multiple years of experience in 2+ CI/CD tools and 2+ Salesforce-specific DevOps tools.","- Analyzes customer's existing DevOps processes and practices.
- Leads presentations/demos internally and with customers along with the ability to explain why certain design approaches were used.
- May lead internal Junior and Senior DevOps engineers.
- Oversees maintenance of the deployment pipeline and version control system.
- Leads the design, development, and implementation of the DevOps strategy.
- Independently leads deployments of custom code upstream.
- Leads and oversees proof of concepts as needed to improve the deployment pipeline and sandbox refreshes.
- Leads and oversees the development of release and sandbox refresh strategies.
- Independently generates DevOps documentation and development team user guides.
- Independently leads internal initiatives.
- Deep knowledge and multiple years of experience in 3+ CI/CD tools and 3+ Salesforce-specific DevOps tools.
- Communicates courageously to inspire and drive teaming.
- Support Internal delivery teams to estimate the resource planning and hrs required for the engagement.
- Work with customers to help them decide the best suited DevOps tools to meet their pipeline requirements.
- Proper Knowledge transfer planning to help customers to work on their own after the handover.
","- Designs and implements advanced CI/CD pipelines to automate software delivery, testing, and deployment processes.
- Assesses potential risks to the DevOps pipeline and develop strategies to mitigate them.
- Provides guidance and mentorship to other DevOps engineers.
- Familiarity with project management methodologies (Agile, Scrum, etc.) and experience in leading or contributing to projects from conception.
- In addition to managing and scaling existing CI/CD pipelines, expertise in optimizing overall system/application performance (e.g., faster build times due to clean code/lightweight repository).
- Plays a role in defining and enforcing policies and best practices within the DevOps environment.
- Support Internal delivery teams to estimate the resource planning and hrs required for the engagement.
- Work with customers to help them decide the best suited DevOps tools to meet their pipeline requirements.
- Proper Knowledge transfer planning to help customers to work on their own after the handover.

","- Engages with clients, partners, and stakeholders to ensure the successful implementation of DevOps framework ecosystem.
- Supports Pre-Sales activities involving DevOps implementation.
- Works on large-scale projects with cross-functional internal teams.
- Highly knowledgeable about various integrations.
- Support Internal delivery teams to estimate the resource planning and hrs required for the engagement.
-Work with customers to help them decide the best suited DevOps tools to meet their pipeline requirements.
-Proper Knowledge transfer planning to help customers to work on their own after the handover.
","- Lead stakeholder engagement​ for Tier 1 customers
- Advise C-level executives on strategic vision and provide thought leadership
- Work collaboratively and have very strong communication skills, especially in articulating complex concepts to all audience levels
- Act as a mentor or coach to internal team members and technical leaders
- Identify and lead strategic initiatives to grow the consulting practice; serving as an active contributor to the overall knowledge base and expertise of the community
- Provide technical expertise in pre-sales efforts"
,Career Movements,,"Vertical
DevOps Engineer (Grade 5)

Lateral
Within Professional Services
Technical Consulting: Associate Quality Engineer, Associate Technical Consultant
Solution Consulting: Associate Solution Consultant

Outside Professional Services
Technical Core
Product","Vertical
Sr. DevOps Engineer (Grade 6)

Lateral
Within Professional Services
Technical Consulting: Quality Engineer, Technical Consultant
Solution Consulting: Solution Consultant

Outside Professional Services
Technical Core
Product","Vertical
DevOps Architect (Grade 7)
Delivery Manager - DevOps (Grade 7)

Lateral
Within Professional Services
Technical Consulting: Sr. Quality Engineer, Sr. Technical Consultant
Solution Consulting: Sr. Solution Consultant

Outside Professional Services
Technical Core
Product","Vertical
Sr. DevOps Architect (Grade 8)

Lateral
Within Professional Services
DevOps: Delivery Manager - DevOps (Grade 7)

Outside Professional Services
Technical Core
Product","Vertical
Director, Delivery - DevOps
Director, Professional Services

Lateral
Within Professional Services
DevOps: Delivery Sr. Manager - DevOps (Grade 8)

Outside Professional Services
Technical Core
Product","Vertical
Senior Director, Professional Services

Lateral
Within Professional Services
DevOps: Delivery Director - DevOps (Grade 9)

Outside Professional Services
Technical Core
Product",
,Certification Expectations,,Technical Expected Certifications,,,,,,
Skills ,,,,,,,,,
Transferable Skills,,,Transferable Skills,,,,,,
Transferable Skills,Build Trust & Authenticity,Gaining others' confidence by acting with integrity and following through on commitments while disclosing own positions; treating others and their ideas with respect and supporting them in the face of challenges.,1,2,3,3,4,4,5
,Communicate Effectively,Clearly and succinctly conveying information and ideas to individuals and groups in a variety of situations; communicating in a focused and compelling way that drives others' thoughts and actions.,1,2,3,4,4,4,5
,Leadership Presence,"Demonstrates demeanor and actions that leave the impression on others that you are a true leader, who is worthy to be respected and trusted.",1,2,3,4,4,4,5
